GS,IP,,Balls,Strikes,Pitches,,,FB%,SL%,CT%,CB%,CH%,SF%,KN%,FBv,SLv,CTv,CBv,CHv,SFv,KNv
28,212.1,,860,2120,2980,,,0.64,0.02,0.20,0.06,0.09,,,91.30,79.20,86.30,75.50,84.70,,
28,171,,946,1754,2700,,,0.67,0.10,,0.09,0.14,,,88.40,84.00,,73.90,81.30,,
28,172.2,,983,1728,2711,,,0.52,0.19,,0.06,0.24,,,90.10,85.00,,76.70,81.40,,
28,159.1,,1026,1604,2630,,,0.50,0.09,0.26,,0.16,,,91.10,83.70,89.40,,79.80,,
28,152.2,,866,1673,2539,,,0.61,0.16,,0.13,0.10,,,89.60,85.20,,75.30,83.50,,
28,157,,915,1557,2472,,,0.30,0.27,,0.05,0.23,0.16,,87.80,80.00,,70.50,81.00,79.50,
28,174.2,,918,1807,2725,,,0.55,0.13,0.07,0.09,0.17,,,89.40,82.90,87.80,77.10,82.00,,
28,157.2,,1015,1689,2704,,,0.46,0.14,,0.19,0.22,,,88.20,84.50,,73.90,80.30,,
28,166.2,,938,1645,2583,,,0.64,0.23,,0.02,0.11,,,90.10,82.20,,78.80,82.50,,
28,150,,1099,1638,2737,,,0.70,0.14,,,0.16,,,90.50,80.90,,,79.40,,
29,199,,973,2031,3004,,,0.59,0.15,,,0.27,,,89.40,81.90,,,79.40,,
29,168,,1029,1760,2789,,,0.72,0.10,,0.15,0.03,,,92.30,85.80,,79.30,85.10,,
29,174.1,,1016,1966,2982,,,0.63,,0.17,0.17,0.04,,,92.60,,88.60,75.80,84.70,,
29,173.1,,982,1639,2621,,,0.64,0.11,,0.15,,0.10,,91.40,85.40,,78.30,,85.00,
29,170.1,,850,1823,2673,,,0.63,0.12,,0.17,0.08,,,91.40,84.00,,81.20,83.40,,
29,169.1,,1122,1813,2935,,,0.78,0.18,,,0.04,,,91.30,82.60,,,85.00,,
29,170,,1001,1722,2723,,,0.65,0.31,,,0.04,,,89.80,81.10,,,84.30,,
29,159,,969,1669,2638,,,0.59,0.09,,0.19,0.14,,,87.40,78.70,,72.80,81.10,,
30,196.2,,1219,1819,3038,,,0.64,0.05,,0.13,0.18,,,90.40,82.70,,77.60,80.80,,
30,192.2,,968,1882,2850,,,0.57,0.11,0.06,,0.26,,,86.70,74.30,83.50,,72.30,,
30,193.2,,909,1999,2908,,,0.55,0.20,,0.10,0.15,,,86.80,81.10,,71.00,77.60,,
30,173.2,,1063,1884,2947,,,0.56,,0.26,0.15,0.04,,,89.70,,85.60,74.40,81.10,,
30,175,,1081,1747,2828,,,0.60,0.14,,0.12,0.14,,,90.90,84.30,,77.90,83.90,,
30,177.2,,984,1853,2837,,,0.61,0.19,,0.14,0.07,,,93.10,84.10,,77.90,85.40,,
31,207.2,,1158,2184,3342,,,0.74,0.05,,0.16,0.06,,,94.60,86.50,,77.50,84.20,,
31,184.2,,1031,1934,2965,,,0.60,0.23,,0.07,0.10,,,93.70,84.70,,78.00,83.80,,
31,196.1,,1099,1929,3028,,,0.55,0.32,,0.00,,0.13,,92.30,84.10,,77.40,,87.30,
31,195.2,,1180,2117,3297,,,0.65,0.15,,,0.20,,,93.10,84.10,,,83.50,,
31,191.2,,1160,1974,3134,,,0.53,0.03,0.22,0.19,0.03,,,91.50,84.30,88.50,77.20,85.60,,
31,191.2,,1080,1941,3021,,,0.49,0.34,,,0.18,,,93.70,85.90,,,85.40,,
31,185.2,,1191,1926,3117,,,0.55,0.27,0.08,,0.10,,,93.20,85.20,90.90,,82.60,,
31,195.1,,1078,1965,3043,,,0.45,0.05,0.15,0.09,0.26,,,87.10,80.60,85.20,74.00,80.90,,
31,192.2,,1052,1968,3020,,,0.60,0.09,,0.03,0.29,,,86.80,83.50,,74.20,79.10,,
31,185,,1254,1949,3203,,,0.58,0.18,,0.20,0.04,,,92.60,86.80,,80.10,84.10,,
31,187.1,,1160,1860,3020,,,0.56,0.24,,0.15,0.05,,,92.40,84.20,,78.70,84.30,,
31,174,,1072,1870,2942,,,0.52,0.12,0.07,0.23,0.07,,,86.50,80.20,82.80,68.40,80.40,,
31,177.2,,1044,1734,2778,,,0.59,,0.27,,0.14,,,89.80,,86.30,,82.90,,
31,190.2,,1237,1973,3210,,,0.62,0.22,,0.10,0.07,,,89.00,83.50,,71.40,81.50,,
32,210.2,,1031,2146,3177,,,0.55,0.15,,0.15,0.15,,,92.60,84.30,,72.70,82.90,,
32,204.1,,1255,2135,3390,,,0.72,0.20,,0.07,0.02,,,92.50,81.40,,73.20,83.60,,
32,208,,1289,2068,3357,,,0.50,,0.22,0.16,0.12,,,93.30,,89.70,77.70,85.40,,
32,195,,1165,2069,3234,,,0.52,0.25,,0.10,0.13,,,91.30,84.50,,76.20,83.40,,
32,195,,1213,1992,3205,,,0.52,,,0.36,0.11,,,89.60,,,75.80,84.00,,
32,201,,1158,2143,3301,,,0.57,0.27,,0.09,0.07,,,90.10,83.40,,77.00,84.60,,
32,213,,1225,2164,3389,,,0.54,,0.24,0.04,0.18,,,91.70,,87.40,77.10,82.70,,
32,210,,1259,1982,3241,,,0.49,0.06,0.10,0.14,0.21,,,90.80,82.10,90.10,75.50,83.90,,
32,221,,1012,2127,3139,,,0.58,0.21,,,0.22,,,90.10,83.70,,,81.20,,
32,194,,1180,1990,3170,,,0.59,0.05,,0.17,0.18,,,89.30,83.30,,76.60,80.50,,
32,209.1,,1271,2055,3326,,,0.62,0.22,,0.05,0.12,,,92.50,84.10,,73.60,84.50,,
32,204,,1208,2053,3261,,,0.71,0.14,,0.09,0.06,,,93.30,86.10,,75.90,84.90,,
32,194.1,,1170,1916,3086,,,0.55,0.27,,,0.18,,,89.60,84.20,,,83.80,,
32,175.2,,1064,1943,3007,,,0.62,0.07,,0.12,0.19,,,89.90,81.50,,76.20,81.60,,
32,209.1,,1272,2086,3358,,,0.59,0.29,,0.03,0.08,,,94.40,86.30,,81.00,85.90,,
32,185.1,,1170,1898,3068,,,0.56,0.12,,0.18,0.15,,,88.30,81.60,,72.80,82.00,,
32,183.2,,1266,1861,3127,,,0.47,,0.24,0.12,0.17,,,92.60,,88.80,78.60,83.00,,
33,230.1,,1190,2166,3356,,,0.46,0.16,,0.29,0.09,,,91.10,86.00,,74.10,82.90,,
33,250.2,,1127,2441,3568,,,0.37,,0.34,0.17,0.12,,,92.60,,91.40,78.10,84.20,,
33,221.2,,1424,2176,3600,,,0.61,0.15,,0.09,0.14,,,96.10,86.60,,78.60,87.70,,
33,208.2,,1148,2220,3368,,,0.54,,0.15,0.08,0.23,,,92.00,,89.00,76.40,82.10,,
33,193,,1241,1987,3228,,,0.65,0.19,,,0.16,,,90.60,80.40,,,81.20,,
33,223.2,,1245,2212,3457,,,0.44,0.28,,0.20,0.08,,,89.30,83.40,,76.20,82.50,,
33,223.1,,1230,2271,3501,,,0.63,0.10,,0.14,0.14,,,91.60,85.10,,77.00,84.80,,
33,200.2,,1340,2030,3370,,,0.62,,,0.30,0.08,,,91.80,,,78.60,82.90,,
33,204,,1389,2052,3441,,,0.49,0.12,0.19,0.09,0.12,,,90.50,82.60,87.80,75.30,82.10,,
33,224.1,,1300,2446,3746,,,0.59,0.07,,0.20,0.15,,,95.40,87.20,,79.60,85.70,,
33,212.1,,1227,2210,3437,,,0.55,0.09,,0.14,0.23,,,91.30,83.70,,77.60,83.80,,
33,200,,1259,1994,3253,,,0.57,0.11,0.14,0.09,0.09,,,90.10,84.00,86.40,77.30,81.10,,
33,211.2,,1236,2011,3247,,,0.61,0.20,,0.11,0.07,,,84.30,79.70,,66.10,78.00,,
33,203,,1270,2119,3389,,,0.69,0.09,,0.06,,0.16,,92.00,83.80,,75.50,,84.40,
33,201.2,,1197,2015,3212,,,0.61,0.14,0.07,0.03,0.15,,,91.30,83.80,86.40,75.20,82.50,,
33,210.1,,1246,2058,3304,,,0.68,0.18,,,0.14,,,92.60,87.00,,,86.40,,
33,215.2,,1119,2138,3257,,,0.40,0.14,0.07,0.15,0.25,,,88.00,75.20,85.80,71.80,80.60,,
33,222.2,,1321,2240,3561,,,0.58,0.37,,,0.05,,,92.50,82.40,,,85.10,,
33,193.2,,1242,1924,3166,,,0.64,0.16,0.05,,0.16,,,88.50,80.90,85.60,,84.10,,
33,198.1,,1184,2040,3224,,,0.51,0.15,,0.19,0.15,,,85.70,78.40,,72.40,75.10,,
33,220,,1286,2159,3445,,,0.61,0.16,,0.11,0.13,,,93.50,86.90,,74.30,85.20,,
33,202.2,,1289,2044,3333,,,0.61,0.15,0.10,,0.14,,,90.60,79.50,85.90,,79.30,,
33,210.1,,1169,2137,3306,,,0.53,0.04,0.15,0.08,0.20,,,86.00,79.10,82.40,71.10,79.30,,
33,215,,1330,2269,3599,,,0.59,0.14,0.00,0.21,0.06,,,91.50,84.60,,79.80,84.70,,
33,203.1,,1319,1996,3315,,,0.64,0.05,,0.14,0.18,,,90.50,80.10,,75.60,81.90,,
33,200,,1041,2046,3087,,,0.50,0.19,0.09,0.07,0.15,,,88.20,80.60,88.50,74.90,82.50,,
33,202.1,,1146,2192,3338,,,0.46,,0.16,0.14,0.25,,,91.50,,86.10,77.30,83.40,,
33,186.2,,1248,1870,3118,,,0.69,,,0.28,0.04,,,93.20,,,82.20,88.40,,
34,249.2,,1320,2411,3731,,,0.61,0.11,,0.13,0.15,,,94.10,85.90,,81.70,89.80,,
34,228.2,,1269,2070,3339,,,0.64,0.15,0.06,0.04,0.06,0.06,,91.20,85.30,88.80,75.90,81.50,85.00,
34,224.1,,1294,2419,3713,,,0.56,0.17,,0.13,0.14,,,89.90,79.10,,70.70,78.60,,
34,237.2,,1316,2271,3587,,,0.62,0.22,,,0.17,0.00,,93.50,80.30,,,86.60,93.00,
34,202.2,,1163,2109,3272,,,0.57,0.28,,0.12,0.03,,,92.70,84.20,,76.10,82.80,,
34,215.1,,1373,2223,3596,,,0.55,0.35,,,,0.11,,91.00,84.80,,,,81.80,
34,215.2,,1315,2260,3575,,,0.56,0.17,,0.17,0.10,,,88.40,80.10,,67.00,77.90,,
35,235,,1294,2255,3549,,,0.49,0.20,,0.27,0.04,,,91.40,86.50,,74.20,84.40,,
35,235,,1299,2450,3749,,,0.42,,0.27,0.13,,0.18,,90.60,,86.40,79.00,,85.30,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
3701.00,22819.40,6.17,134554.00,232752.00,367306.00,99.25,16.10,71.93,17.28,6.68,12.64,15.49,1.18,0.84,90.68,83.10,87.29,75.79,82.71,85.05,75.90
,,,,,,,,,,,,,,126.03,,,,,,,
,,,,,,,,0.57,0.14,0.05,0.10,0.12,0.01,0.01,,,,,,,
