Year,FB%,SL%,CT%,CB%,CH%,SF%,KN%
2010,0.51,0.15,0,0.19,0.15,0,0
2010,0.59,0.07,0,0.2,0.15,0,0
2010,0.52,0.2,0,0.12,0.16,0,0
2010,0.64,0.16,0.05,0,0.16,0,0
2010,0.5,0.09,0.26,0,0.16,0,0
2010,0.7,0.14,0,0,0.16,0,0
2010,0.65,0.19,0,0,0.16,0,0
2010,0.55,0.13,0.07,0.09,0.17,0,0
2010,0.65,0.09,0,0.09,0.17,0,0
2010,0.47,0,0.24,0.12,0.17,0,0
2010,0.54,0,0.24,0.04,0.18,0,0
2010,0.64,0.05,0,0.13,0.18,0,0
2010,0.64,0.05,0,0.14,0.18,0,0
2010,0.59,0.05,0,0.17,0.18,0,0
2010,0.55,0.27,0,0,0.18,0,0
2010,0.49,0.34,0,0,0.18,0,0
2010,0.54,0.19,0,0.09,0.19,0,0
2010,0.62,0.07,0,0.12,0.19,0,0
2010,0.53,0.04,0.15,0.08,0.2,0,0
2010,0.34,0,0.34,0.13,0.2,0,0
2010,0.65,0.15,0,0,0.2,0,0
2010,0.64,0.16,0,0,0.2,0,0
2010,0.49,0.06,0.1,0.14,0.21,0,0
2010,0.58,0.08,0,0.12,0.22,0,0
2010,0.46,0.14,0,0.19,0.22,0,0
2010,0.58,0.21,0,0,0.22,0,0
2010,0.54,0,0.15,0.08,0.23,0,0
2010,0.55,0.09,0,0.14,0.23,0,0
2010,0.52,0.19,0,0.06,0.24,0,0
2010,0.46,0,0.16,0.14,0.25,0,0
2010,0.4,0.14,0.07,0.15,0.25,0,0
2010,0.45,0.05,0.15,0.09,0.26,0,0
2010,0.57,0.11,0.06,0,0.26,0,0
2010,0.54,0.16,0,0.04,0.27,0,0
2010,0.53,0,0.13,0.07,0.27,0,0
2010,0.59,0.15,0,0,0.27,0,0
2010,0.6,0.09,0,0.03,0.29,0,0
2010,0.55,0.14,0,0,0.31,0,0
2010,0.82,0.1,0,0.08,0,0,0
2011,0.23,0,0,0,0.02,0,0.75
2011,0.09,0,0,0.02,0,0,0.89
2011,0.57,0.2,0.05,0.09,0.04,0.06,0
2011,0.53,0.13,0.2,0.04,0,0.09,0
2011,0.57,0.21,0,0.13,0,0.09,0
2011,0.61,0.07,0,0.24,0,0.09,0
2011,0.52,0.25,0,0.13,0,0.11,0
2011,0.35,0,0.48,0.05,0,0.12,0
2011,0.57,0.31,0,0,0,0.12,0
2011,0.64,0.14,0.03,0.06,0,0.13,0
2011,0.62,0.03,0,0.13,0.09,0.14,0
2011,0.61,0.21,0,0.05,0,0.14,0
2011,0.23,0,0.45,0.17,0,0.16,0
2011,0.36,0.24,0,0.1,0.08,0.23,0
2011,0.59,0.2,0,0.2,0.01,0,0
2011,0.84,0.15,0,0,0.01,0,0
2011,0.61,0.24,0,0.13,0.02,0,0
2011,0.42,0.02,0.36,0.17,0.02,0,0
2011,0.51,0.26,0,0.2,0.02,0,0
2011,0.58,0.38,0,0,0.03,0,0
2011,0.65,0.26,0,0.05,0.04,0,0
2011,0.53,0.32,0,0.11,0.04,0,0
2011,0.54,0.28,0,0.15,0.04,0,0
2011,0.83,0.12,0.01,0,0.04,0,0
2011,0.67,0.14,0,0.15,0.05,0,0
2011,0.68,0.11,0,0.16,0.05,0,0
2011,0.47,0,0.28,0.2,0.05,0,0
2011,0.61,0.12,0,0.22,0.05,0,0
2011,0.55,0,0.17,0.23,0.05,0,0
2011,0.68,0.28,0,0,0.05,0,0
2011,0.62,0.27,0,0.06,0.06,0,0
2011,0.55,0,0.22,0.16,0.06,0,0
2011,0.7,0.01,0.06,0.17,0.06,0,0
2011,0.62,0.32,0,0,0.06,0,0
2011,0.58,0.27,0,0.09,0.07,0,0
2011,0.54,0.11,0.17,0.12,0.07,0,0
2011,0.56,0.24,0,0.13,0.07,0,0
2011,0.53,0.13,0.13,0.14,0.07,0,0
2011,0.6,0.17,0,0.16,0.07,0,0
2011,0.6,0.15,0,0.17,0.07,0,0
2011,0.75,0,0.01,0.18,0.07,0,0
2011,0.51,0.24,0,0.18,0.07,0,0
2011,0.69,0.05,0,0.19,0.07,0,0
