GS,IP,,Balls,Strikes,Pitches,,,FB%,SL%,CT%,CB%,CH%,SF%,KN%,FBv,SLv,CTv,CBv,CHv,SFv,KNv
32,208.1,,1130,2139,3269,,,0.43,0.39,,0.10,0.08,,,91.10,87.50,,75.90,84.10,,
32,219,,1177,2309,3486,,,0.51,0.15,0.11,0.12,0.11,,,90.80,82.80,86.10,79.60,83.40,,
32,187.2,,1154,2124,3278,,,0.61,0.20,,,0.20,,,94.20,85.70,,,85.50,,
32,202,,971,1987,2958,,,0.38,0.23,0.07,0.19,0.13,,,87.20,76.10,84.80,71.20,78.30,,
32,193.2,,1198,1990,3188,,,0.71,,0.12,0.09,0.09,,,92.50,,89.00,83.10,82.90,,
32,200,,1244,1928,3172,,,0.63,0.11,,0.07,0.19,,,89.40,85.60,,78.60,80.80,,
32,198.2,,1072,2019,3091,,,0.42,0.13,0.14,0.25,0.06,,,90.10,84.90,88.40,73.70,83.60,,
32,192.2,,1058,2079,3137,,,0.65,0.15,,0.06,0.14,,,91.00,80.50,,71.40,84.10,,
32,182.2,,1296,1925,3221,,,0.50,,,0.25,0.26,,,93.60,,,79.30,83.60,,
32,184.1,,1165,1903,3068,,,0.37,0.33,,0.20,0.11,,,83.90,79.30,,71.40,75.00,,
32,191.1,,1074,2145,3219,,,0.65,0.04,0.02,0.18,0.10,,,92.10,81.30,86.60,74.90,84.00,,
32,185.1,,1123,1884,3007,,,0.54,0.10,0.10,0.21,0.06,,,92.60,85.40,88.60,78.10,84.90,,
32,181,,1266,1818,3084,,,0.45,0.00,0.22,0.14,0.19,,,91.20,86.50,91.40,77.00,83.00,,
33,227.2,,1235,2234,3469,,,0.62,0.23,,0.11,0.04,,,93.20,85.40,,74.00,84.50,,
33,238.1,,1276,2492,3768,,,0.56,0.12,,0.15,0.17,,,94.30,84.40,,79.20,85.50,,
33,232.2,,1040,2304,3344,,,0.14,,,,0.01,,0.85,83.40,,,,75.30,,77.10
33,217,,1216,2233,3449,,,0.54,0.22,0.05,0.01,0.18,,,92.70,82.80,88.40,75.60,83.60,,
33,211,,1026,2101,3127,,,0.53,0.23,,0.04,0.19,,,89.50,83.70,,74.00,80.30,,
33,232,,1190,2230,3420,,,0.56,0.13,,0.13,0.18,,,92.10,85.40,,81.50,88.70,,
33,219.2,,1237,2093,3330,,,0.50,0.30,,0.06,,0.14,,91.80,83.80,,76.90,,86.40,
33,209.1,,1122,2149,3271,,,0.59,0.25,,0.13,0.04,,,92.60,85.20,,78.80,83.60,,
33,227.2,,1292,2325,3617,,,0.34,,0.19,0.18,0.29,,,92.30,,89.60,79.90,85.20,,
33,204,,1397,2082,3479,,,0.57,0.23,,0.19,0.02,,,91.80,87.40,,79.70,86.90,,
33,208,,1157,2177,3334,,,0.62,0.19,,0.10,,0.10,,92.50,87.50,,78.10,,85.60,
33,198.1,,1025,1951,2976,,,0.57,0.04,0.04,0.09,0.27,,,88.00,80.90,83.70,75.30,77.80,,
33,203.2,,1087,2085,3172,,,0.59,,,0.31,0.11,,,89.30,,,76.30,83.60,,
33,217.1,,1209,2145,3354,,,0.57,,0.09,0.07,0.27,,,88.00,,84.20,75.60,80.00,,
33,218.2,,1092,2074,3166,,,0.62,0.11,0.10,,0.18,,,90.70,81.80,86.60,,84.60,,
33,208.1,,1159,2221,3380,,,0.66,0.01,0.08,0.08,0.17,,,89.70,83.70,86.30,77.90,79.90,,
33,205.1,,1294,2130,3424,,,0.52,,0.22,0.14,0.12,,,92.60,,90.30,76.10,85.90,,
33,186,,1280,2019,3299,,,0.52,0.17,,0.11,0.20,,,90.40,83.50,,77.70,83.30,,
34,212.1,,1273,2110,3383,,,0.53,0.13,0.11,0.17,0.07,,,92.40,83.20,89.30,73.40,85.60,,
34,202.1,,1351,2091,3442,,,0.52,0.09,0.16,0.14,0.09,,,91.70,84.20,89.20,78.40,85.30,,
34,206.1,,1293,2133,3426,,,0.81,0.19,,,,,,91.90,82.50,,,,,
34,191.2,,1054,2139,3193,,,0.42,0.30,,0.13,0.15,,,86.30,82.00,,72.50,77.00,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
3580.00,21796.20,6.09,125798.00,222695.00,348493.00,97.34,15.99,69.75,14.98,8.91,14.73,14.02,1.79,0.85,90.86,83.29,87.52,76.50,83.00,84.40,77.10
,,,,,,,,,,,,,,125.02,,,,,,,
,,,,,,,,0.56,0.12,0.07,0.12,0.11,0.01,0.01,,,,,,,
