GS,IP,,Balls,Strikes,Pitches,,,FB%,SL%,CT%,CB%,CH%,SF%,KN%,FBv,SLv,CTv,CBv,CHv,SFv,KNv
26,165.2,,912,1599,2511,,,0.36,0.15,0.32,0.07,0.11,,,89.10,82.30,88.10,76.60,83.00,,
26,153,,784,1573,2357,,,0.83,0.12,0.01,,0.04,,,91.80,83.70,88.70,,82.50,,
26,165.1,,767,1604,2371,,,0.42,0.03,0.28,0.15,0.12,,,87.90,81.90,84.90,74.10,80.50,,
26,157,,840,1644,2484,,,0.55,,0.17,0.23,0.05,,,90.60,,87.20,74.40,84.50,,
26,148.1,,899,1530,2429,,,0.57,,0.16,0.13,0.14,,,89.70,,87.40,76.80,83.00,,
26,153,,875,1474,2349,,,0.51,0.07,0.20,0.12,0.10,,,90.80,85.70,88.80,78.00,86.30,,
27,164.2,,954,1594,2548,,,0.61,0.12,,0.22,0.05,,,92.60,85.70,,80.20,85.90,,
27,156.1,,953,1571,2524,,,0.56,0.02,0.08,0.10,0.25,,,89.80,82.10,86.90,73.40,82.60,,
27,170.1,,926,1827,2753,,,0.49,,0.27,0.05,0.19,,,91.60,,88.30,77.20,83.30,,
27,160,,968,1600,2568,,,0.61,0.17,,0.12,0.11,,,92.90,84.20,,77.40,86.30,,
28,175,,1046,1821,2867,,,0.56,,0.15,0.20,0.10,,,91.50,,87.60,76.70,83.70,,
28,170.2,,968,1787,2755,,,0.59,0.24,,0.08,0.09,,,89.80,82.30,,74.80,82.30,,
28,171,,900,1788,2688,,,0.62,0.32,,,0.06,,,94.70,84.10,,,87.60,,
28,171.2,,1029,1812,2841,,,0.56,0.19,,0.17,0.09,,,92.50,84.50,,73.10,84.90,,
28,158.2,,995,1609,2604,,,0.46,0.06,,0.13,0.35,,,87.80,82.70,,73.20,80.40,,
28,154.1,,1011,1498,2509,,,0.71,0.12,,,0.17,,,92.10,83.20,,,86.50,,
28,156.1,,957,1620,2577,,,0.62,0.15,,0.09,0.14,,,91.30,83.30,,73.70,84.00,,
28,156.1,,1197,1775,2972,,,0.67,0.11,,0.10,0.12,,,90.00,83.70,,76.10,80.90,,
28,160,,1039,1805,2844,,,0.51,0.24,,0.18,0.07,,,91.60,86.40,,79.60,84.10,,
29,189,,1137,1817,2954,,,0.56,,0.01,0.11,0.32,,,91.00,,89.00,75.60,80.10,,
29,167,,971,1719,2690,,,0.68,0.28,,,0.05,,,95.00,81.40,,,86.10,,
29,171.2,,1052,1684,2736,,,0.70,0.01,0.06,0.17,0.06,,,91.40,83.60,88.40,78.50,84.00,,
29,184,,1063,1889,2952,,,0.68,0.11,,0.16,0.05,,,91.40,86.00,,78.60,85.30,,
29,175.1,,1015,1673,2688,,,0.48,0.26,,0.15,0.10,,,83.90,79.00,,66.40,77.70,,
29,165.2,,999,1600,2599,,,0.59,0.19,,0.09,0.12,,,91.30,84.30,,78.40,84.60,,
30,193,,1058,1936,2994,,,0.51,,0.18,0.17,0.14,,,93.10,,90.30,77.40,88.50,,
30,188.1,,956,1848,2804,,,0.59,0.16,,0.06,0.19,,,89.40,83.30,,74.30,79.60,,
30,183.2,,1148,1842,2990,,,0.64,0.09,,0.13,0.14,,,92.80,87.20,,77.70,83.10,,
30,191,,1174,1971,3145,,,0.53,0.00,,0.37,0.10,,,89.10,,,75.50,83.30,,
30,192.2,,1085,1895,2980,,,0.47,,0.28,0.20,0.05,,,91.20,,85.70,78.80,84.60,,
30,179.1,,1114,1998,3112,,,0.62,0.27,,0.06,0.06,,,93.90,87.90,,81.50,86.80,,
31,213,,1061,2031,3092,,,0.45,,0.21,0.10,0.24,,,91.70,,88.70,76.20,83.40,,
31,213.1,,1024,2132,3156,,,0.57,0.17,,0.15,0.11,,,90.00,86.60,,75.20,82.80,,
31,198,,1099,2093,3192,,,0.53,0.24,,0.12,0.11,,,93.70,85.70,,75.90,85.60,,
31,194.1,,1181,1968,3149,,,0.56,0.24,,0.13,0.07,,,92.80,83.60,,77.70,82.50,,
31,191.2,,1218,1974,3192,,,0.49,,0.28,0.13,0.09,,,92.80,,89.00,75.50,84.70,,
31,205.1,,1144,2002,3146,,,0.45,0.04,0.20,0.09,0.22,,,85.60,79.40,82.30,72.00,78.80,,
31,194,,1248,1891,3139,,,0.60,0.19,,0.11,0.10,,,91.00,83.00,,78.70,84.20,,
31,185.2,,1131,1874,3005,,,0.51,,0.27,0.13,0.09,,,90.40,,85.90,76.90,80.30,,
31,186,,1176,1973,3149,,,0.51,0.36,,0.01,0.12,,,92.60,86.30,,80.60,83.10,,
31,198.2,,1187,2037,3224,,,0.55,0.34,,0.03,0.09,,,94.50,87.40,,80.40,86.80,,
31,171,,1124,1775,2899,,,0.69,0.05,,0.19,0.07,,,92.70,80.80,,76.40,81.60,,
31,185,,1028,1909,2937,,,0.55,0.14,0.03,,0.28,,,87.90,79.70,85.00,,78.30,,
31,198,,1189,1929,3118,,,0.54,0.11,0.17,0.12,0.07,,,92.70,84.00,88.30,77.10,81.60,,
31,182,,1050,1810,2860,,,0.65,0.20,,0.03,0.12,,,90.20,83.50,,75.80,80.90,,
31,183,,1064,1889,2953,,,0.55,,,0.14,0.31,,,84.70,,,68.00,76.10,,
31,181.2,,1170,1781,2951,,,0.62,0.03,,0.13,0.09,0.14,,92.60,87.70,,77.80,84.80,87.90,
32,233.2,,1086,2382,3468,,,0.23,,0.45,0.17,,0.16,,92.00,,90.80,77.00,,83.20,
32,232.2,,1043,2360,3403,,,0.54,0.00,0.23,0.11,0.13,,,91.50,79.60,86.40,75.10,84.40,,
32,225,,1309,2065,3374,,,0.61,0.01,0.09,0.09,0.20,,,92.10,85.10,91.10,77.10,85.00,,
32,202,,1161,2041,3202,,,0.61,0.21,,0.05,,0.14,,92.00,84.30,,78.70,,87.10,
32,202,,1367,2040,3407,,,0.65,,,0.28,0.08,,,92.50,,,80.10,83.80,,
32,207.2,,1026,2090,3116,,,0.23,,,,0.02,,0.75,84.40,,,,74.80,,76.10
32,194.2,,1065,1921,2986,,,0.53,,0.21,0.10,0.16,,,89.80,,86.00,73.00,82.60,,
32,196.1,,1144,2081,3225,,,0.54,0.21,,0.08,0.18,,,91.70,85.00,,75.30,83.20,,
32,192.2,,1033,1972,3005,,,0.60,0.15,,0.17,0.07,,,90.40,82.70,,73.30,79.60,,
32,198,,1150,2056,3206,,,0.66,0.13,,0.11,0.10,,,94.20,83.20,,75.70,85.40,,
32,188,,1205,2016,3221,,,0.55,,0.22,0.16,0.06,,,91.50,,87.90,75.50,85.00,,
32,201,,1130,2120,3250,,,0.47,,0.19,0.06,0.28,,,87.40,,84.10,74.00,79.90,,
32,203.2,,1202,2034,3236,,,0.63,0.18,,0.09,0.10,,,92.50,83.10,,73.40,83.40,,
32,200.1,,1107,2100,3207,,,0.58,0.27,,0.09,0.07,,,89.00,83.90,,76.30,82.90,,
32,188.1,,1283,1976,3259,,,0.62,0.14,,0.07,0.17,,,93.50,83.40,,77.10,86.20,,
32,199,,1076,2030,3106,,,0.46,0.16,0.08,0.13,0.18,,,87.00,75.30,85.20,71.10,79.00,,
32,190,,1250,1967,3217,,,0.56,,,0.33,0.11,,,92.70,,,82.60,88.20,,
32,188.2,,1128,1893,3021,,,0.68,0.13,,,0.18,,,92.50,86.10,,,85.60,,
33,233.1,,1205,2264,3469,,,0.65,0.26,,0.05,0.04,,,93.40,83.80,,73.90,82.80,,
33,235.2,,1345,2401,3746,,,0.57,0.18,,0.11,0.15,,,89.10,79.70,,71.60,78.90,,
33,217,,1373,2233,3606,,,0.53,0.16,,0.07,0.24,,,92.30,85.90,,78.70,83.80,,
33,249.1,,1254,2322,3576,,,0.36,,0.15,0.21,0.27,,,91.00,,86.70,77.70,83.90,,
33,222,,1145,2279,3424,,,0.64,0.03,0.08,0.10,0.16,,,90.30,84.00,86.60,77.50,81.10,,
33,221.2,,1238,2250,3488,,,0.55,0.16,,0.13,0.17,,,91.20,85.90,,77.90,85.50,,
33,237.1,,1210,2394,3604,,,0.59,0.20,,0.08,0.13,,,93.80,82.70,,79.10,86.70,,
33,204.2,,1055,2147,3202,,,0.53,0.32,,0.11,0.04,,,91.70,87.30,,76.80,83.20,,
33,215,,1263,2177,3440,,,0.84,0.15,,,0.01,,,92.70,83.00,,,86.00,,
33,215,,1182,2022,3204,,,0.57,0.20,0.05,0.09,0.04,0.06,,90.50,84.70,89.80,76.20,80.50,83.60,
33,228.2,,1254,2199,3453,,,0.58,0.38,,,0.03,,,92.80,82.20,,,86.00,,
33,233.2,,1275,2334,3609,,,0.54,0.10,,0.15,0.22,,,93.30,86.40,,81.60,89.30,,
33,222,,1197,2239,3436,,,0.62,0.16,,,0.22,,,93.20,87.50,,,83.70,,
33,207.1,,1282,2180,3462,,,0.59,0.20,,0.20,0.01,,,92.70,87.20,,80.70,85.10,,
33,200.2,,1152,2029,3181,,,0.34,0.11,0.16,0.14,0.25,,,86.90,80.10,84.70,71.70,79.30,,
33,212.1,,1221,2156,3377,,,0.50,0.19,,0.19,0.12,,,88.40,83.70,,67.70,78.60,,
33,212,,1234,1983,3217,,,0.64,0.09,,0.09,0.19,,,89.60,82.50,,76.20,81.20,,
33,184.2,,1089,1849,2938,,,0.60,0.15,,0.08,0.18,,,89.80,81.00,,74.70,84.50,,
33,192.2,,991,2037,3028,,,0.55,0.15,,0.11,0.19,,,87.40,82.60,,70.40,79.20,,
33,222,,1127,2256,3383,,,0.61,0.16,,,0.24,,,89.00,82.80,,,81.10,,
33,195,,1210,2134,3344,,,0.61,0.18,,,0.20,,,93.10,82.70,,,82.50,,
33,214,,1166,2148,3314,,,0.49,0.19,,0.23,0.09,,,88.40,82.40,,75.40,82.80,,
33,183.1,,1178,1879,3057,,,0.64,0.09,0.16,,0.12,,,90.00,79.00,85.90,,79.60,,
33,206,,1075,2121,3196,,,0.52,0.25,,0.13,,0.11,,90.50,83.60,,75.10,,82.30,
33,193.1,,1205,2003,3208,,,0.64,0.14,0.03,0.06,,0.13,,92.10,84.30,87.90,75.70,,84.50,
34,251,,1350,2591,3941,,,0.57,0.08,,0.18,0.16,,,95.00,85.90,,79.30,86.40,,
34,223.1,,1345,2247,3592,,,0.53,0.13,0.13,0.14,0.07,,,91.00,83.10,87.60,76.90,83.90,,
34,237.1,,1275,2486,3761,,,0.35,,0.48,0.05,,0.12,,90.00,,85.30,78.20,,85.30,
34,237.1,,1265,2348,3613,,,0.51,0.26,,0.20,0.02,,,92.50,87.80,,74.90,85.50,,
34,224.1,,1341,2355,3696,,,0.71,0.10,,0.09,0.11,,,94.80,89.20,,78.40,83.10,,
34,207.2,,1378,2007,3385,,,0.59,0.07,,0.13,0.22,,,89.10,83.50,,78.60,80.50,,
34,202.1,,1301,2214,3515,,,0.57,0.31,,,,0.12,,90.30,85.10,,,,81.80,
34,187,,1261,1965,3226,,,0.50,0.25,0.09,,0.16,,,88.00,80.30,85.40,,83.10,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
3825.00,23734.00,6.20,137231.00,241569.00,378800.00,99.03,15.96,73.80,17.42,7.24,14.55,15.91,1.45,1.64,90.76,83.62,87.35,76.02,82.92,84.03,70.95
,,,,,,,,,,,,,,132.01,,,,,,,
,,,,,,,,0.56,0.13,0.05,0.11,0.12,0.01,0.01,,,,,,,
