Name,Team,GS,IP,Balls,Strikes,Pitches,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv
Scott Copeland,Blue Jays,3,12.1,68,143,211,63.0,90.30,19.0,79.30,,,7.6,73.30,10.4,84.70,,,,
Brandon Dickson,Cardinals,1,3.1,17,36,53,52.8,89.90,35.9,82.60,,,,,11.3,78.80,,,,
Toru Murata,Indians,1,3.1,27,42,69,60.9,86.70,14.5,75.00,,,8.7,66.70,,,15.9,78.30,,
Brooks Raley,Cubs,5,24.1,169,246,415,49.6,88.20,,,28.7,85.30,12.3,76.00,9.4,82.80,,,,
Charlie Leesman,White Sox,2,7.2,78,108,186,62.9,88.50,30.7,79.50,,,,,6.5,79.50,,,,
Tyler Beede,Giants,2,7.2,69,97,166,51.8,92.30,5.4,87.40,,,13.3,78.80,29.5,81.20,,,,
Chris Flexen,Mets,10,44.2,336,511,847,60.1,92.10,22.8,85.80,0.4,88.70,7.6,76.50,9.2,81.90,,,,
Burch Smith,- - -,13,53.1,360,631,991,64.1,91.90,,,,,18.2,77.00,17.6,81.30,,,,
Thomas Diamond,Cubs,3,13,108,163,271,66.9,89.00,9.9,76.50,,,2.3,73.30,20.9,80.50,,,,
Mitch Atkins,Orioles,3,10.2,92,139,231,55.4,90.90,24.7,85.10,,,15.2,77.60,4.8,83.40,,,,
Brian Sanches,Marlins,2,5.1,36,80,116,53.6,86.90,24.1,81.20,,,2.7,73.00,,,19.6,77.20,,
Josh Rogers,Orioles,3,11.2,79,133,212,56.1,89.50,22.2,81.20,,,11.8,78.70,9.9,80.70,,,,
Cesar Valdez,- - -,6,24.1,178,285,463,51.2,88.10,9.5,81.40,,,,,39.3,83.20,,,,
Anthony Lerew,Royals,6,26.1,165,294,459,57.8,90.40,11.7,79.30,,,2.4,71.10,28.0,81.20,,,,
Rookie Davis,Reds,6,22,195,276,471,63.9,92.50,20.0,86.30,,,9.3,82.20,5.9,86.60,0.9,84.50,,
Asher Wojciechowski,- - -,11,47.1,317,578,895,59.6,92.10,24.8,81.00,3.1,87.30,,,12.5,83.50,,,,
Anthony Vasquez,Mariners,7,29.1,207,350,557,57.1,85.20,,,,,11.1,69.40,31.8,73.70,,,,
Brad Thomas,Tigers,2,6,60,74,134,69.5,91.60,15.3,84.50,,,6.9,77.00,8.4,83.90,,,,
Alan Johnson,Rockies,1,4,40,53,93,48.4,87.60,23.7,81.50,,,19.4,79.30,8.6,83.00,,,,
Joel Carreno,Blue Jays,2,9,65,96,161,50.9,90.90,37.3,79.60,,,,,11.8,83.30,,,,
Jerry Blevins,Mets,1,2,10,19,29,44.8,87.80,,,,,44.8,71.30,10.3,82.30,,,,
Jeremy Jeffress,Brewers,1,2,8,23,31,61.3,95.10,,,,,9.7,80.70,29.0,90.30,,,,
Jay Buente,Marlins,1,3,27,35,62,58.1,88.40,,,,,11.3,75.90,,,30.7,81.50,,
Omar Beltre,Rangers,2,7,72,85,157,67.1,92.60,19.1,80.80,,,,,9.2,83.40,4.6,82.30,,
Josh Lucas,Athletics,1,2,22,30,52,53.9,90.10,36.5,82.40,,,9.6,82.40,,,,,,
Yimi Garcia,Dodgers,1,2,15,28,43,69.8,93.20,14.0,82.30,11.6,88.80,,,4.7,86.50,,,,
Frank Garces,Padres,1,2,13,26,39,53.9,89.80,,,,,41.0,75.10,5.1,81.50,,,,
William Cuevas,Red Sox,1,2,9,29,38,47.4,91.80,18.4,85.40,,,13.2,80.40,21.1,83.60,,,,
Kyle Lloyd,Padres,1,4,36,47,83,47.0,85.80,15.7,80.20,,,,,,,37.4,79.70,,
Jace Fry,White Sox,1,1,13,17,30,30.0,92.80,30.0,88.20,,,30.0,79.60,10.0,87.30,,,,
Brian Flynn,- - -,6,24.1,185,285,470,65.1,90.70,16.0,82.20,,,10.4,73.80,8.5,82.20,,,,
Drew VerHagen,Tigers,4,17.1,128,198,326,60.4,92.90,14.1,85.10,,,18.7,77.30,2.8,87.80,4.0,81.90,,
Chad Bell,Tigers,4,15.1,128,194,322,61.2,92.30,13.7,84.70,,,15.5,81.00,9.6,86.30,,,,
Casey Crosby,Tigers,3,12.1,100,141,241,53.5,90.00,,,7.5,88.00,22.4,75.90,16.6,80.70,,,,
Logan Darnell,Twins,4,18,115,205,320,55.3,89.60,20.6,82.90,,,5.3,69.00,18.8,80.80,,,,
Dillon Overton,- - -,7,29.1,201,395,596,50.8,88.30,,,5.2,84.50,9.9,73.30,34.1,79.00,,,,
Matt Barnes,Red Sox,2,10.1,71,127,198,57.1,93.70,2.0,86.30,,,20.2,81.00,20.7,85.10,,,,
Rick VandenHurk,Orioles,3,9.1,100,117,217,64.5,92.50,20.7,82.40,,,5.1,72.50,9.7,84.50,,,,
Walker Lockett,Padres,3,13,103,149,252,53.6,92.30,,,1.2,88.70,24.6,80.50,20.6,86.00,,,,
Charlie Haeger,Dodgers,6,23,235,289,524,21.5,83.40,10.0,79.30,,,,,,,,,68.5,71.10
Tanner Scheppers,Rangers,4,18.1,135,211,346,73.1,93.70,21.4,81.70,,,,,5.5,87.60,,,,
Brady Rodgers,Astros,1,3.2,35,47,82,48.8,89.30,35.4,79.30,3.7,86.30,4.9,72.50,7.3,81.80,,,,
Edgar Olmos,Mariners,2,6.1,68,69,137,64.4,92.20,,,,,13.3,77.30,22.2,84.60,,,,
Cody Martin,- - -,4,16,128,172,300,54.0,88.00,19.7,84.40,,,22.3,73.90,4.0,83.70,,,,
Dayan Diaz,Astros,1,2.2,14,30,44,72.7,93.60,20.5,84.90,,,,,6.8,84.30,,,,
Zack Littell,Twins,2,7,60,96,156,60.3,91.60,,,14.1,86.80,14.1,74.70,11.5,85.50,,,,
Kameron Loe,Braves,1,4.1,38,64,102,55.9,89.40,,,25.5,88.50,9.8,78.40,6.9,83.40,2.0,85.50,,
Tim Melville,- - -,3,10.1,99,137,236,60.6,92.20,19.9,85.00,,,16.5,80.30,3.0,87.90,,,,
Adam Wilk,- - -,5,18,135,231,366,54.1,87.50,,,14.5,82.40,10.4,77.60,21.0,81.00,,,,
Miguel Castro,Orioles,2,6,46,73,119,62.2,93.70,23.5,83.10,,,,,14.3,85.50,,,,
Felix Jorge,Twins,2,7.2,57,92,149,49.7,92.40,14.8,83.00,6.7,88.90,5.4,77.40,23.5,85.00,,,,
Raul Valdes,- - -,3,11,82,137,219,64.7,86.10,26.5,75.80,,,,,8.8,73.80,,,,
Scot Shields,Angels,1,1.2,22,30,52,75.0,91.40,,,,,25.0,79.80,,,,,,
P.J. Conlon,Mets,2,5.2,45,57,102,59.8,86.40,13.7,81.80,,,2.0,76.00,24.5,77.40,,,,
Sean Gilmartin,Mets,2,5.2,42,67,109,58.1,88.60,15.2,79.10,,,4.8,71.00,21.9,78.00,,,,
Edwar Cabrera,Rockies,2,5.2,68,78,146,61.4,90.40,,,,,11.7,74.80,26.9,81.30,,,,
Donn Roach,- - -,2,6.1,43,64,107,59.4,88.80,,,,,27.4,74.60,,,13.2,83.90,,
Drew Gagnon,Mets,1,4.2,35,46,81,61.7,91.30,1.2,85.00,,,9.9,77.00,27.2,81.40,,,,
Stephen Gonsalves,Twins,4,12.1,123,164,287,56.1,89.80,19.2,83.90,,,7.7,71.50,17.1,81.60,,,,
Drew Rucinski,Angels,1,2.2,35,42,77,73.7,90.10,9.2,81.10,,,,,7.9,80.00,9.2,81.90,,
Taylor Hill,Nationals,1,4.2,35,55,90,62.8,89.50,17.4,85.20,,,14.0,74.80,5.8,83.40,,,,
T.J. McFarland,- - -,3,8,59,110,169,68.6,89.60,11.2,83.20,,,6.5,81.00,13.6,83.10,,,,
Phillippe Aumont,Phillies,1,4,48,56,104,69.2,92.50,,,,,28.9,79.90,,,1.9,84.00,,
Josh Banks,Astros,1,4,37,47,84,51.2,84.30,33.3,82.50,,,2.4,70.00,,,11.9,77.60,1.2,74.00
Jalen Beeks,Red Sox,1,4,31,57,88,48.9,92.00,,,20.5,88.30,17.1,74.70,13.6,84.60,,,,
Evan Phillips,Orioles,1,2,8,17,25,76.0,91.80,16.0,84.80,,,,,8.0,86.00,,,,
Eddie Bonine,Tigers,1,3.1,24,41,65,55.6,88.10,19.1,76.80,,,,,,,,,25.40,81.60
Michael Roth,Angels,1,3.1,29,46,75,61.3,88.90,13.3,79.10,1.3,88.00,1.3,73.00,22.7,81.10,,,,
Mike Kickham,Giants,3,10.1,94,137,231,56.8,90.60,32.2,83.30,,,5.3,78.80,5.7,83.40,,,,
Edwin Escobar,Diamondbacks,2,7,65,86,151,70.8,91.80,,,,,25.9,80.00,3.4,82.60,,,,
Jen-Ho Tseng,Cubs,2,5,36,73,109,48.6,91.30,,,12.8,85.50,13.8,77.10,24.8,84.80,,,,
Luke Farrell,- - -,3,8.2,80,117,197,59.4,90.80,28.9,82.40,,,8.1,75.60,,,3.6,83.10,,
Pedro Villarreal,Reds,1,3.2,31,53,84,57.8,91.10,22.9,80.60,18.1,87.20,,,1.2,85.00,,,,
Mike Hauschild,Blue Jays,1,2.1,25,26,51,47.1,89.90,23.5,82.30,,,,,23.5,82.80,5.9,82.70,,
Nik Turley,Twins,3,9.1,75,107,182,59.9,93.10,15.9,79.50,,,16.5,77.10,7.7,87.40,,,,
Tyler Clippard,Blue Jays,1,1,10,18,28,42.9,90.10,,,14.3,83.50,,,32.1,76.70,10.7,82.30,,
Noe Ramirez,Angels,1,1,7,15,22,31.8,89.90,45.5,77.20,,,,,22.7,85.00,,,,
Myles Jaye,Tigers,2,5.1,53,80,133,63.2,89.70,22.6,82.20,,,9.0,75.60,5.3,83.60,,,,
Wilfredo Boscan,Pirates,1,3,26,42,68,70.6,90.10,,,,,10.3,75.30,19.1,81.70,,,,
Dan Runzler,Giants,1,1.2,23,26,49,79.6,95.00,20.4,85.00,,,,,,,,,,
Fernando Nieve,Mets,1,2,28,34,62,67.7,93.20,3.2,82.50,,,16.1,76.40,12.9,84.10,,,,
Taylor Cole,Angels,2,2.1,30,41,71,45.1,92.30,31.0,86.30,,,,,23.9,85.80,,,,
Sam Dyson,Marlins,1,2.2,29,34,63,88.9,90.20,,,,,1.6,78.00,9.5,84.50,,,,
Elih Villanueva,Marlins,1,3,40,52,92,65.5,89.10,17.2,81.90,,,2.3,72.00,14.9,82.00,,,,
Michael Blazek,Brewers,1,2.1,20,41,61,54.1,91.80,14.8,83.90,,,11.5,76.60,19.7,85.00,,,,
Ryan Verdugo,Royals,1,1.2,24,31,55,63.6,89.00,21.8,81.10,,,1.8,72.00,12.7,81.30,,,,
Jaime Schultz,Rays,1,0.2,13,19,32,40.6,95.70,40.6,87.20,,,18.8,81.50,,,,,,
Mike Mayers,Cardinals,1,1.1,24,38,62,65.6,93.30,9.8,86.00,,,,,24.6,85.10,,,,
Onelki Garcia,Royals,1,0.1,8,15,23,65.2,93.30,,,,,13.0,84.70,21.7,85.40,,,,
Jonny Venters,Rays,1,0.1,12,11,23,69.6,93.00,8.7,84.50,,,,,21.7,86.60,,,,
Ryan Meisinger,Orioles,1,0.1,10,11,21,52.4,90.50,47.6,80.50,,,,,,,,,,
