count.balls,count.outs,count.pitch_count,count.strikes,day,description,errors,flags.is_ab_over,flags.is_bunt,flags.is_bunt_shown,flags.is_double_play,flags.is_hit,flags.is_passed_ball,flags.is_triple_play,flags.is_wild_pitch,half,hit_location,hit_type,hitter.first_name,hitter.id,hitter.last_name,hitter.preferred_name,inning,month,outcome_id,pitcher.first_name,pitcher.hitter_hand,pitcher.id,pitcher.last_name,pitcher.pitch_count,pitcher.pitch_speed,pitcher.pitch_type,pitcher.pitch_x,pitcher.pitch_y,pitcher.pitch_zone,pitcher.pitcher_hand,pitcher.preferred_name,pitcher_id,runner_1.description,runner_1.ending_base,runner_1.fielders,runner_1.first_name,runner_1.id,runner_1.jersey_number,runner_1.last_name,runner_1.out,runner_1.outcome_id,runner_1.preferred_name,runner_1.starting_base,runner_2.ending_base,runner_2.out,runner_2.outcome_id,runner_2.starting_base,runner_3.ending_base,runner_3.out,runner_3.outcome_id,runner_3.starting_base,runner_4.ending_base,runner_4.out,runner_4.outcome_id,runner_4.starting_base,year
2,0,3,1,05,"Kurt Suzuki grounds out to shortstop, Asdrubal Cabrera to Lucas Duda. Adonis Garcia to second.",,False,False,False,False,False,False,False,False,T,,,Kurt,6e455e9c-d760-4661-8258-90d1ee46bb9e,Suzuki,Kurt,3,04,kKL,Jacob,R,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,deGrom,32,94.0,FA,-94.0,-78.0,7.0,R,Jacob,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,,1.0,,Adonis,223a12e0-a5aa-41ed-8b7f-f99a21d8d59a,13,Garcia,False,,Adonis,1.0,,,,,,,,,,,,,2017
2,0,4,2,05,"Kurt Suzuki grounds out to shortstop, Asdrubal Cabrera to Lucas Duda. Adonis Garcia to second.",,False,False,False,False,False,False,False,False,T,,,Kurt,6e455e9c-d760-4661-8258-90d1ee46bb9e,Suzuki,Kurt,3,04,kF,Jacob,R,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,deGrom,33,95.0,FA,-100.0,-86.0,7.0,R,Jacob,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,,1.0,,Adonis,223a12e0-a5aa-41ed-8b7f-f99a21d8d59a,13,Garcia,False,,Adonis,1.0,,,,,,,,,,,,,2017
2,0,5,2,05,"Kurt Suzuki grounds out to shortstop, Asdrubal Cabrera to Lucas Duda. Adonis Garcia to second.",,False,False,False,False,False,False,False,False,T,,,Kurt,6e455e9c-d760-4661-8258-90d1ee46bb9e,Suzuki,Kurt,3,04,kF,Jacob,R,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,deGrom,34,89.0,SL,-64.0,-65.0,7.0,R,Jacob,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,,1.0,,Adonis,223a12e0-a5aa-41ed-8b7f-f99a21d8d59a,13,Garcia,False,,Adonis,1.0,,,,,,,,,,,,,2017
2,1,6,2,05,"Kurt Suzuki grounds out to shortstop, Asdrubal Cabrera to Lucas Duda. Adonis Garcia to second.",,True,False,False,False,False,False,False,False,T,22,GB,Kurt,6e455e9c-d760-4661-8258-90d1ee46bb9e,Suzuki,Kurt,3,04,oGO,Jacob,R,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,deGrom,35,94.0,FA,-11.0,-100.0,8.0,R,Jacob,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,Adonis Garcia to second.,2.0,,Adonis,223a12e0-a5aa-41ed-8b7f-f99a21d8d59a,13,Garcia,False,AD2,Adonis,1.0,,,,,,,,,,,,,2017
0,1,1,1,05,Bartolo Colón called out on strikes.,,False,False,False,False,False,False,False,False,T,,,Bartolo,1e4a62ff-7ae0-40b5-8f56-7c4a6d40a705,Colón,Bartolo,3,04,kKS,Jacob,R,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,deGrom,36,87.0,SL,-123.0,-69.0,13.0,R,Jacob,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,,2.0,,Adonis,223a12e0-a5aa-41ed-8b7f-f99a21d8d59a,13,Garcia,False,,Adonis,2.0,,,,,,,,,,,,,2017
1,1,2,1,05,Bartolo Colón called out on strikes.,,False,False,False,False,False,False,False,False,T,,,Bartolo,1e4a62ff-7ae0-40b5-8f56-7c4a6d40a705,Colón,Bartolo,3,04,bB,Jacob,R,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,deGrom,37,88.0,SL,-158.0,-152.0,13.0,R,Jacob,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,,2.0,,Adonis,223a12e0-a5aa-41ed-8b7f-f99a21d8d59a,13,Garcia,False,,Adonis,2.0,,,,,,,,,,,,,2017
1,1,3,2,05,Bartolo Colón called out on strikes.,,False,False,False,False,False,False,False,False,T,,,Bartolo,1e4a62ff-7ae0-40b5-8f56-7c4a6d40a705,Colón,Bartolo,3,04,kKL,Jacob,R,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,deGrom,38,95.0,FA,-70.0,-8.0,4.0,R,Jacob,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,,2.0,,Adonis,223a12e0-a5aa-41ed-8b7f-f99a21d8d59a,13,Garcia,False,,Adonis,2.0,,,,,,,,,,,,,2017
1,1,4,2,05,Bartolo Colón called out on strikes.,,False,False,False,False,False,False,False,False,T,,,Bartolo,1e4a62ff-7ae0-40b5-8f56-7c4a6d40a705,Colón,Bartolo,3,04,kF,Jacob,R,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,deGrom,39,88.0,SL,-152.0,13.0,13.0,R,Jacob,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,,2.0,,Adonis,223a12e0-a5aa-41ed-8b7f-f99a21d8d59a,13,Garcia,False,,Adonis,2.0,,,,,,,,,,,,,2017
1,2,5,3,05,Bartolo Colón called out on strikes.,,True,False,False,False,False,False,False,False,T,,,Bartolo,1e4a62ff-7ae0-40b5-8f56-7c4a6d40a705,Colón,Bartolo,3,04,kKL,Jacob,R,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,deGrom,40,95.0,FA,-11.0,-95.0,8.0,R,Jacob,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,,2.0,,Adonis,223a12e0-a5aa-41ed-8b7f-f99a21d8d59a,13,Garcia,False,,Adonis,2.0,,,,,,,,,,,,,2017
0,2,1,1,05,Ender Inciarte called out on strikes.,,False,False,False,False,False,False,False,False,T,,,Ender,91406228-8d10-4a6d-877a-c5ae235ccc00,Inciarte,Ender,3,04,kKL,Jacob,L,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,deGrom,41,87.0,CH,-58.0,-56.0,7.0,R,Jacob,e5cfe3b2-6596-4f08-bba7-f107ecae63c2,,2.0,,Adonis,223a12e0-a5aa-41ed-8b7f-f99a21d8d59a,13,Garcia,False,,Adonis,2.0,,,,,,,,,,,,,2017
