count.balls,count.outs,count.pitch_count,count.strikes,day,description,errors,flags.is_ab_over,flags.is_bunt,flags.is_bunt_shown,flags.is_double_play,flags.is_hit,flags.is_passed_ball,flags.is_triple_play,flags.is_wild_pitch,half,hit_location,hit_type,hitter.first_name,hitter.id,hitter.last_name,hitter.preferred_name,inning,month,outcome_id,pitcher.first_name,pitcher.hitter_hand,pitcher.id,pitcher.last_name,pitcher.pitch_count,pitcher.pitch_speed,pitcher.pitch_type,pitcher.pitch_x,pitcher.pitch_y,pitcher.pitch_zone,pitcher.pitcher_hand,pitcher.preferred_name,pitcher_id,runner_1.description,runner_1.ending_base,runner_1.fielders,runner_1.first_name,runner_1.id,runner_1.jersey_number,runner_1.last_name,runner_1.out,runner_1.outcome_id,runner_1.preferred_name,runner_1.starting_base,runner_2.ending_base,runner_2.out,runner_2.outcome_id,runner_2.starting_base,runner_3.ending_base,runner_3.out,runner_3.outcome_id,runner_3.starting_base,runner_4.ending_base,runner_4.out,runner_4.outcome_id,runner_4.starting_base,year
0,0,1,1,02,Eduardo Núñez singles to third base.,,False,False,False,False,False,False,False,False,T,,,,,,,2,04,kKL,Zack,R,ba554801-7322-487c-a998-74fd132712e8,Greinke,25,81.0,SL,76,-8,6,R,,ba554801-7322-487c-a998-74fd132712e8,,,,,,,,,,,,,,,,,,,,,,,,2017
0,0,2,1,02,Eduardo Núñez singles to third base.,,True,False,False,False,True,False,False,False,T,21,GB,,,,,2,04,aS,Zack,R,ba554801-7322-487c-a998-74fd132712e8,Greinke,26,85.0,SL,-141,-134,13,R,,ba554801-7322-487c-a998-74fd132712e8,,1.0,,Eduardo,ecdcb57f-d0c5-4409-89ee-6680a77588de,10,Núñez,False,AD1,Eduardo,0.0,,,,,,,,,,,,,2017
0,0,1,1,02,"Jarrett Parker grounds out to first base, Paul Goldschmidt to Zack Greinke. Eduardo Núñez to third.",,False,False,False,False,False,False,False,False,T,,,,,,,2,04,kFT,Zack,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,27,90.0,FA,-5,34,2,R,,ba554801-7322-487c-a998-74fd132712e8,,1.0,,Eduardo,ecdcb57f-d0c5-4409-89ee-6680a77588de,10,Núñez,False,,Eduardo,1.0,,,,,,,,,,,,,2017
1,0,2,1,02,"Jarrett Parker grounds out to first base, Paul Goldschmidt to Zack Greinke. Eduardo Núñez to third.",,False,False,False,False,False,False,False,False,T,,,,,,,2,04,bB,Zack,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,28,91.0,FA,-82,147,10,R,,ba554801-7322-487c-a998-74fd132712e8,Eduardo Núñez steals second.,2.0,,Eduardo,ecdcb57f-d0c5-4409-89ee-6680a77588de,10,Núñez,False,SB2,Eduardo,1.0,,,,,,,,,,,,,2017
1,1,3,1,02,"Jarrett Parker grounds out to first base, Paul Goldschmidt to Zack Greinke. Eduardo Núñez to third.",,True,False,False,False,False,False,False,False,T,24,GB,,,,,2,04,oGO,Zack,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,29,91.0,FA,-76,-69,7,R,,ba554801-7322-487c-a998-74fd132712e8,Eduardo Núñez to third.,3.0,,Eduardo,ecdcb57f-d0c5-4409-89ee-6680a77588de,10,Núñez,False,AD3,Eduardo,2.0,,,,,,,,,,,,,2017
1,1,1,0,02,Joe Panik out on a sacrifice fly to deep center field to A.J. Pollock. Eduardo Núñez scores.,,False,False,False,False,False,False,False,False,T,,,,,,,2,04,bB,Zack,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,30,87.0,CH,141,117,11,R,,ba554801-7322-487c-a998-74fd132712e8,,3.0,,Eduardo,ecdcb57f-d0c5-4409-89ee-6680a77588de,10,Núñez,False,,Eduardo,3.0,,,,,,,,,,,,,2017
1,1,2,1,02,Joe Panik out on a sacrifice fly to deep center field to A.J. Pollock. Eduardo Núñez scores.,,False,False,False,False,False,False,False,False,T,,,,,,,2,04,kF,Zack,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,31,87.0,CH,82,-91,9,R,,ba554801-7322-487c-a998-74fd132712e8,,3.0,,Eduardo,ecdcb57f-d0c5-4409-89ee-6680a77588de,10,Núñez,False,,Eduardo,3.0,,,,,,,,,,,,,2017
1,1,3,2,02,Joe Panik out on a sacrifice fly to deep center field to A.J. Pollock. Eduardo Núñez scores.,,False,False,False,False,False,False,False,False,T,,,,,,,2,04,kFT,Zack,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,32,92.0,FA,111,4,11,R,,ba554801-7322-487c-a998-74fd132712e8,,3.0,,Eduardo,ecdcb57f-d0c5-4409-89ee-6680a77588de,10,Núñez,False,,Eduardo,3.0,,,,,,,,,,,,,2017
2,1,4,2,02,Joe Panik out on a sacrifice fly to deep center field to A.J. Pollock. Eduardo Núñez scores.,,False,False,False,False,False,False,False,False,T,,,,,,,2,04,bB,Zack,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,33,92.0,FA,70,134,10,R,,ba554801-7322-487c-a998-74fd132712e8,,3.0,,Eduardo,ecdcb57f-d0c5-4409-89ee-6680a77588de,10,Núñez,False,,Eduardo,3.0,,,,,,,,,,,,,2017
2,2,5,2,02,Joe Panik out on a sacrifice fly to deep center field to A.J. Pollock. Eduardo Núñez scores.,,True,False,False,False,False,False,False,False,T,8,FB,,,,,2,04,oSF,Zack,L,ba554801-7322-487c-a998-74fd132712e8,Greinke,34,92.0,FA,64,-95,9,R,,ba554801-7322-487c-a998-74fd132712e8,Eduardo Núñez scores.,4.0,,Eduardo,ecdcb57f-d0c5-4409-89ee-6680a77588de,10,Núñez,False,ERN,Eduardo,3.0,,,,,,,,,,,,,2017
