Empty,count.balls,count.outs,count.pitch_count,count.strikes,day,description,errors,flags.is_ab_over,flags.is_bunt,flags.is_bunt_shown,flags.is_double_play,flags.is_hit,flags.is_passed_ball,flags.is_triple_play,flags.is_wild_pitch,half,hit_location,hit_type,hitter.first_name,hitter.id,hitter.last_name,hitter.preferred_name,inning,month,outcome_id,pitcher.first_name,pitcher.hitter_hand,pitcher.id,pitcher.last_name,pitcher.pitch_count,pitcher.pitch_speed,pitcher.pitch_type,pitcher.pitch_x,pitcher.pitch_y,pitcher.pitch_zone,pitcher.pitcher_hand,pitcher.preferred_name,pitcher_id,runner_1.description,runner_1.ending_base,runner_1.fielders,runner_1.first_name,runner_1.id,runner_1.jersey_number,runner_1.last_name,runner_1.out,runner_1.outcome_id,runner_1.preferred_name,runner_1.starting_base,runner_2.ending_base,runner_2.out,runner_2.outcome_id,runner_2.starting_base,runner_3.ending_base,runner_3.out,runner_3.outcome_id,runner_3.starting_base,runner_4.ending_base,runner_4.out,runner_4.outcome_id,runner_4.starting_base,weather.current_conditions.cloud_cover,weather.current_conditions.condition,weather.current_conditions.dew_point_f,weather.current_conditions.humidity,weather.current_conditions.obs_time,weather.current_conditions.temp_f,weather.current_conditions.wind.direction,weather.current_conditions.wind.speed_mph,year
,0.0,0.0,1.0,1.0,07,"Renato Núñez grounds out to shortstop, José Iglesias to John Hicks.",,False,False,False,False,False,False,False,False,B,,,Renato,61108ac6-8463-4aed-b311-1158f88536c0,Núñez,Renato,3.0,05,kKL,Michael,R,ec504c95-8a64-46ad-91ae-850c6e7350db,Fulmer,26.0,95.0,FA,-41.0,39.0,1.0,R,Michael,ec504c95-8a64-46ad-91ae-850c6e7350db,,,,,,,,,,,,,,,,,,,,,,,,0.0,Sunny,56.0,32.0,2018-05-08T00:50:20.000Z,90.0,SSE,8.0,2018
,1.0,0.0,2.0,1.0,07,"Renato Núñez grounds out to shortstop, José Iglesias to John Hicks.",,False,False,False,False,False,False,False,False,B,,,Renato,61108ac6-8463-4aed-b311-1158f88536c0,Núñez,Renato,3.0,05,bB,Michael,R,ec504c95-8a64-46ad-91ae-850c6e7350db,Fulmer,27.0,95.0,FA,17.0,152.0,10.0,R,Michael,ec504c95-8a64-46ad-91ae-850c6e7350db,,,,,,,,,,,,,,,,,,,,,,,,0.0,Sunny,56.0,32.0,2018-05-08T00:50:20.000Z,90.0,SSE,8.0,2018
,1.0,1.0,3.0,1.0,07,"Renato Núñez grounds out to shortstop, José Iglesias to John Hicks.",,True,False,False,False,False,False,False,False,B,22,GB,Renato,61108ac6-8463-4aed-b311-1158f88536c0,Núñez,Renato,3.0,05,oGO,Michael,R,ec504c95-8a64-46ad-91ae-850c6e7350db,Fulmer,28.0,86.0,SL,-52.0,-52.0,7.0,R,Michael,ec504c95-8a64-46ad-91ae-850c6e7350db,,,,,,,,,,,,,,,,,,,,,,,,0.0,Sunny,56.0,32.0,2018-05-08T00:50:20.000Z,90.0,SSE,8.0,2018
,0.0,1.0,1.0,1.0,07,Delino DeShields strikes out swinging.,,False,False,False,False,False,False,False,False,B,,,Delino,106e6fb6-6460-412e-abdb-9f73469a27b9,DeShields,Delino,3.0,05,kKL,Michael,R,ec504c95-8a64-46ad-91ae-850c6e7350db,Fulmer,29.0,87.0,SL,-29.0,73.0,2.0,R,Michael,ec504c95-8a64-46ad-91ae-850c6e7350db,,,,,,,,,,,,,,,,,,,,,,,,0.0,Sunny,56.0,32.0,2018-05-08T00:50:20.000Z,90.0,SSE,8.0,2018
,0.0,1.0,2.0,2.0,07,Delino DeShields strikes out swinging.,,False,False,False,False,False,False,False,False,B,,,Delino,106e6fb6-6460-412e-abdb-9f73469a27b9,DeShields,Delino,3.0,05,kKS,Michael,R,ec504c95-8a64-46ad-91ae-850c6e7350db,Fulmer,30.0,96.0,FA,-100.0,117.0,10.0,R,Michael,ec504c95-8a64-46ad-91ae-850c6e7350db,,,,,,,,,,,,,,,,,,,,,,,,0.0,Sunny,56.0,32.0,2018-05-08T00:50:20.000Z,90.0,SSE,8.0,2018
,0.0,1.0,3.0,2.0,07,Delino DeShields strikes out swinging.,,False,False,False,False,False,False,False,False,B,,,Delino,106e6fb6-6460-412e-abdb-9f73469a27b9,DeShields,Delino,3.0,05,kF,Michael,R,ec504c95-8a64-46ad-91ae-850c6e7350db,Fulmer,31.0,97.0,FA,-129.0,78.0,13.0,R,Michael,ec504c95-8a64-46ad-91ae-850c6e7350db,,,,,,,,,,,,,,,,,,,,,,,,0.0,Sunny,56.0,32.0,2018-05-08T00:50:20.000Z,90.0,SSE,8.0,2018
,1.0,1.0,4.0,2.0,07,Delino DeShields strikes out swinging.,,False,False,False,False,False,False,False,False,B,,,Delino,106e6fb6-6460-412e-abdb-9f73469a27b9,DeShields,Delino,3.0,05,bB,Michael,R,ec504c95-8a64-46ad-91ae-850c6e7350db,Fulmer,32.0,97.0,FA,-152.0,-91.0,13.0,R,Michael,ec504c95-8a64-46ad-91ae-850c6e7350db,,,,,,,,,,,,,,,,,,,,,,,,0.0,Sunny,56.0,32.0,2018-05-08T00:50:20.000Z,90.0,SSE,8.0,2018
,2.0,1.0,5.0,2.0,07,Delino DeShields strikes out swinging.,,False,False,False,False,False,False,False,False,B,,,Delino,106e6fb6-6460-412e-abdb-9f73469a27b9,DeShields,Delino,3.0,05,bB,Michael,R,ec504c95-8a64-46ad-91ae-850c6e7350db,Fulmer,33.0,96.0,FA,-100.0,-95.0,7.0,R,Michael,ec504c95-8a64-46ad-91ae-850c6e7350db,,,,,,,,,,,,,,,,,,,,,,,,0.0,Sunny,56.0,32.0,2018-05-08T00:50:20.000Z,90.0,SSE,8.0,2018
,2.0,1.0,6.0,2.0,07,Delino DeShields strikes out swinging.,,False,False,False,False,False,False,False,False,B,,,Delino,106e6fb6-6460-412e-abdb-9f73469a27b9,DeShields,Delino,3.0,05,kF,Michael,R,ec504c95-8a64-46ad-91ae-850c6e7350db,Fulmer,34.0,97.0,FA,-76.0,60.0,1.0,R,Michael,ec504c95-8a64-46ad-91ae-850c6e7350db,,,,,,,,,,,,,,,,,,,,,,,,0.0,Sunny,56.0,32.0,2018-05-08T00:50:20.000Z,90.0,SSE,8.0,2018
,2.0,2.0,7.0,3.0,07,Delino DeShields strikes out swinging.,,True,False,False,False,False,False,False,False,B,,,Delino,106e6fb6-6460-412e-abdb-9f73469a27b9,DeShields,Delino,3.0,05,kKS,Michael,R,ec504c95-8a64-46ad-91ae-850c6e7350db,Fulmer,35.0,86.0,SL,-35.0,-65.0,8.0,R,Michael,ec504c95-8a64-46ad-91ae-850c6e7350db,,,,,,,,,,,,,,,,,,,,,,,,0.0,Sunny,56.0,32.0,2018-05-08T00:50:20.000Z,90.0,SSE,8.0,2018
